1147	International Conference on Network Protocols	ICNP	CORE2014	A	No	1006		
1152	International Conference on Neural Information Processing	ICONIP	CORE2014	A	No	801		
1165	International Conference on Parallel Architecture and Compilation Techniques	PACT	CORE2014	A	No	805		
1167	International Conference on Parallel Processing	ICPP	CORE2014	A	Yes	805		
1175	International Conference on Principles and Practice of Constraint Programming	CP	CORE2014	A	No	803		
1191	International Conference on Reliable Software Technologies	Ada-Europe	CORE2014	A	Yes	803		
2123	International Conference on Rewriting Techniques and Applications (now merged with FSCD Formal Structures for Computation and Deduction)	RTA	CORE2014	A	No	802		
1197	International Conference on Scientific and Statistical Data Base Management	SSDBM	CORE2014	A	No	804		
1198	International Conference on Security and Privacy for Communication Networks	SecureComm	CORE2014	A	Yes	803		
1199	International Conference on Security in Pervasive Computing	ICSPC	CORE2014	A	No	806		
1204	International Conference on Service Oriented Computing	ICSOC	CORE2014	A	No	805		
791	International Conference on Software Architecture (was previously WICSA)	ICSA	CORE2014	A	Yes	803		
1220	International Conference on Software Reuse	ICSR	CORE2014	A	Yes	803		
1235	International Conference on Temporal Logic	ICTL	CORE2014	A	No	802		
1240	International Conference on the Simulation and Synthesis of Living Systems	ALIFE	CORE2014	A	No	801		
1243	International Conference on the Theory and Application of Cryptology and Information Security	ASIACRYPT	CORE2014	A	Yes	804		
1246	International Conference on Theorem Proving with Analytic Tableaux and Related Methods	TABLEAUX	CORE2014	A	No	802		
1250	International Conference on Theory and Applications of Satisfiability Testing	SAT	CORE2014	A	No	802		
2013	International Conference on Theory and Practice of Digital Libraries (was ECDL until 2010)	TPDL	CORE2014	A	Yes			
1262	International Conference on Virtual Execution Environments	VEE	CORE2014	A	No	803		
1271	International Conference on Web Information Systems Engineering	WISE	CORE2014	A	Yes	805		
2022	International European Conference on Parallel and Distributed Computing (was International Conference on Parallel Processing)	EuroPar	CORE2014	A	No			
1318	International Joint Conference on Qualitative and Quantitative Practical Reasoning	ESQARU	CORE2014	A	No	801		
2069	International Logic Programming Symposium	ILPS	CORE2014	A	No	801		
1338	International Semantic Web Conference	ISWC	CORE2014	A	Yes	804		
1349	International Symposium on Algorithms and Computation	ISAAC	CORE2014	A	Yes	802		
1357	International Symposium on Automated Technology for Verification and Analysis	ATVA	CORE2014	A	No	803		
1362	International Symposium on Code Generation and Optimization	CGO	CORE2014	A	No	803		
1374	International Symposium on Distributed Computing (was WDAG)	DISC	CORE2014	A	No	805		
1376	International Symposium on Empirical Software Engineering and Measurement	ESEM	CORE2014	A	Yes	803		
1382	International Symposium on Functional and Logic Programming	FLOPS	CORE2014	A	No	802		
1383	International Symposium on Fundamentals of Computation Theory	FCT	CORE2014	A	No	802		
1398	International Symposium on Mathematical Foundations of Computer Science	MFCS	CORE2014	A	Yes	802		
1400	International Symposium on Memory Management	ISMM	CORE2014	A	No	803		
2098	International Symposium on Microarchitecture	MICRO	CORE2014	A	No	803		
1409	International Symposium on Robotics	ISR	CORE2014	A	No	801	910	
1410	International Symposium on Robotics Research	ISRR	CORE2014	A	No	910	801	
1411	International Symposium on Software Reliability Engineering	ISSRE	CORE2014	A	Yes	803		
1412	International Symposium on Software Testing and Analysis	ISSTA	CORE2014	A	Yes	803		
1416	International Symposium on Spatial Databases	SSTD	CORE2014	A	Yes	804	909	
1451	International Workshop on Approximation Algorithms for Combinatorial Optimization Problems	APPROX	CORE2014	A	Yes	802		
1484	International Workshop on Graph-Theoretic Concepts in Computer Science	WG	CORE2014	A	Yes	802		
1518	International Workshop on Randomization and Computation	RANDOM	CORE2014	A	No	802		
1529	International Workshop on Software and Compilers for Embedded Systems	SCOPES	CORE2014	A	No	1005		
1551	Internet Measurement Conference	IMC	CORE2014	A	No	806		
494	Interspeech (combined EuroSpeech and ICSLP in 2000)	Interspeech	CORE2014	A	No	801		
1582	Knowledge capture	K-CAP	CORE2014	A	No	804		
1596	Logic Programming and Automated Reasoning	LPAR	CORE2014	A	No	802		
1598	Logics in Artificial Intelligence, European Conference	JELIA	CORE2014	A	No	802		
1607	Medical Image Computing and Computer-Assisted Intervention	MICCAI	CORE2014	A	No	801	903	
2104	Net Object Days (Includings MATES, ENASE etc.)	MATES ENASE	CORE2014	A	No			
1638	Network and OS Support for Digital A/V	NOSSDAV	CORE2014	A	No	806		
2105	Network Storage Symposium	NetStore	CORE2014	A	No	805		
1648	North American Association for Computational Linguistics	NAACL	CORE2014	A	No	801		
1657	Pacific Asia Conference on Information Systems	PACIS	CORE2014	A	No	806		
1660	Pacific Conference on Computer Graphics and Applications	PG	CORE2014	A	No	801		
1667	Pacific-Asia Conference on Knowledge Discovery and Data Mining	PAKDD	CORE2014	A	Yes	804		
1676	Parallel Problem Solving from Nature	PPSN	CORE2014	A	No	801		
2120	Performance Tools - International Conference on Model Techniques & Tools for CPE	PT	CORE2014	A	No	803		
1691	Principles and Practice of Parallel Programming	PPoPP	CORE2014	A	No	805		
1727	SIAM International Conference on Data Mining	SDM	CORE2014	A	No	804		
2136	Software Process Improvement and Capability Determination 	SPICE 	CORE2014	A	Yes	803		
1763	Static Analysis Symposium	SAS	CORE2014	A	Yes	802		
1766	Structural and Syntactical Pattern Recognition	SSPR	CORE2014	A	No	802		
1770	Symposia on VLSI Technology and Circuits	VLSI	CORE2014	A	No	1005		
1771	Symposium Model Analysis and Simulation of Computer and Telecommunications Systems	MASCOTS	CORE2014	A	No	1006		
2093	Symposium on Frontiers of Massively Parallel Processing	MassPar	CORE2014	A	No	805		
2033	Symposium on High Performance Chips 	HOTCHIPS (HCS) 	CORE2014	A	No			
1790	Symposium on Parallelism in Algorithms and Architectures	SPAA	CORE2014	A	No	805		
1792	Symposium on Reliable Distributed Systems	SRDS	CORE2014	A	No	805		
1798	Tangible, Embedded, and Embodied Interaction	TEI	CORE2014	A	No	806		
1408	The International Symposium on Research in Attacks, Intrusions and Defenses (was International Symposium on Recent Advances in Intrusion Detection)	RAID	CORE2014	A	Yes	804		
1814	Theoretical Aspects of Rationality and Knowledge	TARK	CORE2014	A	No	802		
1815	Theory of Cryptography Conference	TCC	CORE2014	A	Yes	804		
1818	Tools and Algorithms for Construction and Analysis of Systems	TACAS	CORE2014	A	No	803		
2144	Unix Symposium on Internet Technologies	USITS	CORE2014	A	No	805		
2124	Unix Symposium on Operating Systems Design and Implementation 	SDSDI 	CORE2014	A	No	803		
1838	Usenix Annual Technical Conference	USENIX	CORE2014	A	No	8		
1840	Usenix Network and Distributed System Security Symposium	NDSS	CORE2014	A	Yes	803	805	
1845	USENIX Workshop on Hot Topics in Operating Systems	HotOS	CORE2014	A	No	803		
1870	Workshop on Algorithm Engineering and Experiments	ALENEX	CORE2014	A	No	802		
11	ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication	SIGCOMM	CORE2014	A*	No	803		
12	ACM Conference on Computer and Communications Security	CCS	CORE2014	A*	Yes	803		
2085	ACM Conference on Digital Libraries 	JCDL 	CORE2014	A*	No	806		
15	ACM Conference on Embedded Networked Sensor Systems	SENSYS	CORE2014	A*	Yes	1006		
18	ACM Conference on Object Oriented Programming Systems Languages and Applications	OOPSLA	CORE2014	A*	Yes	803		
26	ACM International Conference on Knowledge Discovery and Data Mining	SIGKDD	CORE2014	A*	No	804		
27	ACM International Conference on Mobile Computing and Networking	MOBICOM	CORE2014	A*	No	1006		
29	ACM International Conference on Research and Development in Information Retrieval	SIGIR	CORE2014	A*	Yes	806	807	
